Sample	X101.10T1	X101.11T1	X101.12T1	X101.13T1	X101.14T1	X101.15T1	X101.1T1	X101.2T1	X101.3T1	X101.4T1	X101.5T1	X101.6T1	X101.7T1	X101.8T1	X101.9T1	X101C.10T1	X101C.11T1	X101C.12T1	X101C.13T1	X101C.14T1	X101C.15T1	X101C.1T1	X101C.2T1	X101C.3T1	X101C.4T1	X101C.5T1	X101C.6T1	X101C.7T1	X101C.8T1	X101C.9T1	C101.10T1	C101.11T1	C101.12T1	C101.13T1	C101.14T1	C101.15T1	C101.1T1	C101.2T1	C101.3T1	C101.4T1	C101.5T1	C101.6T1	C101.7T1	C101.8T1	C101.9T1	C.10T1	C.11T1	C.12T1	C.13T1	C.14T1	C.15T1	C.1T1	C.2T1	C.3T1	C.4T1	C.5T1	C.6T1	C.7T1	C.8T1	C.9T1
Zotu338	20	15	1	23	6	13	12	11	10	80	1	13	11	12	15	3	24	12	10	30	2	36	53	10	9	7	12	10	30	37	11	5	15	18	16	11	9	3	17	12	10	32	15	12	18	19	12	18	13	14	17	4	10	9	23	19	9	11	7	30
Zotu8	5	1	2	0	1	0	0	0	12	0	0	8	1	4	0	10	5	0	1	2	22	1	5	1	1	4	0	3	41	0	0	12	0	0	4	0	85	8	2	0	0	0	1	1	2	0	1	1	12	7	1	86	0	1	0	8	3	0	10	1
Zotu56	50	61	52	49	117	50	69	38	29	119	12	50	41	145	83	12	187	28	29	59	45	21	246	21	15	119	9	51	37	46	9	39	18	49	19	77	98	67	45	115	19	25	48	50	16	26	58	36	163	28	158	46	205	142	108	295	172	32	57	419
Zotu26	311	411	246	185	135	339	594	480	216	224	193	268	179	119	286	161	171	292	84	335	287	757	190	217	357	259	424	509	424	744	149	411	306	476	364	187	150	47	523	241	123	336	313	417	453	254	49	670	131	805	383	349	70	146	510	162	80	854	126	178
Zotu31	303	20	33	44	146	385	1	5	60	7	107	8	267	79	37	33	0	114	220	1091	251	141	400	118	866	18	1023	20	376	734	34	274	295	9	250	39	26	7	39	46	151	741	273	427	971	12	1006	893	11	19	39	0	2	394	71	1	0	2494	484	29
Zotu73	83	62	0	8	50	256	31	144	36	123	8	43	55	122	96	31	87	38	107	91	188	155	92	145	68	56	95	66	225	8	2	27	12	12	41	3	13	0	10	3	5	24	4	2	1	182	55	45	6	14	35	5	38	126	10	13	1	101	76	2
Zotu7	746	784	479	386	916	394	560	300	178	407	146	654	145	270	700	92	411	62	146	115	81	79	142	20	24	181	32	289	43	63	94	701	251	787	538	584	333	337	866	964	388	244	357	229	304	274	341	108	142	38	469	29	528	29	125	689	305	63	467	201
Zotu145	37	17	22	6	28	187	5	17	34	33	13	16	7	23	69	6	9	1	189	19	13	17	1	29	2	7	0	2	9	0	32	22	46	87	39	284	25	56	41	71	20	39	40	55	16	2	2	7	1	1	4	7	9	2	16	1	2	0	10	3
Zotu90	339	65	1	217	114	869	251	936	510	757	661	186	770	170	542	201	5	150	202	250	177	921	2	117	22	100	205	174	252	1	161	650	215	329	581	124	62	6	6	123	139	1121	10	99	205	574	391	313	0	64	136	37	9	72	21	2	60	170	17	3
Zotu830	12	0	0	0	0	13	0	7	4	2	2	8	4	4	2	1	0	3	3	28	23	10	1	10	18	1	19	2	6	11	0	22	14	1	16	0	5	0	1	1	4	26	12	18	30	15	29	23	0	4	1	0	0	19	1	0	0	75	16	0
Zotu71	118	9	29	72	103	162	47	18	30	126	14	16	47	105	85	31	139	122	21	52	42	109	131	22	111	25	9	105	28	60	11	65	11	11	20	33	11	17	10	42	1	1	41	9	9	33	3	21	167	81	439	20	327	53	112	689	388	99	31	224
Zotu15	156	100	198	78	127	162	105	85	157	131	65	117	98	153	146	162	303	339	121	291	362	182	307	442	297	286	203	127	469	254	44	127	207	113	81	71	187	78	226	140	66	153	210	243	154	287	104	195	465	234	200	223	380	231	289	308	338	389	427	878
Zotu62	24	21	38	7	8	67	52	157	221	10	6	50	17	130	185	22	0	10	18	35	0	2	0	4	0	0	4	0	1	0	14	47	42	55	51	21	5	22	0	20	20	12	12	16	5	10	26	1	1	9	0	1	0	0	1	1	0	0	0	0
Zotu185	18	5	6	1	21	2	4	1	2	28	0	7	0	21	10	6	24	15	15	42	5	6	74	6	1	51	13	13	10	12	3	6	0	3	0	9	7	7	1	3	0	3	3	2	4	8	14	4	115	15	47	16	188	86	44	75	51	16	18	72
Zotu115	15	58	10	1	5	22	14	6	4	4	3	51	12	9	27	10	11	10	94	7	46	30	0	212	5	55	29	24	18	1	57	28	11	31	39	9	25	18	29	37	52	25	6	55	1	14	171	3	1	10	202	6	0	3	29	0	13	12	7	14
Zotu29	185	125	72	164	525	122	125	67	83	314	27	130	48	215	206	75	1223	114	67	260	128	124	675	61	261	250	95	684	101	356	23	131	78	120	72	218	212	186	149	300	98	41	431	61	73	96	87	162	426	120	480	47	345	313	135	878	764	121	252	677
Zotu744	25	15	4	6	7	6	4	4	7	7	4	34	10	3	12	13	7	63	7	9	19	26	36	60	62	4	16	9	19	43	7	10	19	10	3	7	6	0	6	2	17	9	18	11	6	2	14	21	41	5	14	5	13	12	24	26	32	21	9	27
Zotu787	11	4	1	4	7	4	4	1	5	3	2	3	4	7	12	0	7	15	2	4	4	7	2	8	6	0	6	5	5	2	1	3	1	1	0	4	3	0	1	0	4	3	1	3	1	2	0	5	1	3	4	4	1	3	4	0	0	9	2	0
Zotu13	431	403	427	720	1863	413	313	152	660	589	493	360	422	383	290	102	449	708	234	526	344	398	441	157	532	534	603	329	214	778	179	156	291	158	244	460	439	127	280	358	386	184	519	129	248	141	183	841	679	611	564	227	674	296	1358	708	758	815	1094	620
Zotu44	114	282	74	150	348	45	73	36	107	221	225	84	108	52	53	22	60	101	52	320	44	70	66	56	77	297	69	127	65	71	186	156	427	265	300	666	461	130	339	178	713	186	385	119	125	16	19	58	56	92	122	59	116	40	124	185	145	81	196	83
Zotu218	12	17	5	40	10	28	15	38	11	22	22	38	17	30	33	27	6	14	10	13	4	17	12	6	3	1	3	21	4	3	4	6	17	18	4	4	7	3	2	5	3	11	8	23	11	15	6	1	2	0	10	0	1	5	9	1	7	1	5	0
Zotu838	8	0	0	0	0	0	0	0	0	0	17	0	0	0	5	2	0	1	4	0	20	0	0	3	4	0	3	0	13	41	0	5	1	0	1	0	0	0	0	0	0	1	0	4	2	0	15	11	0	1	0	0	0	6	4	0	0	5	0	0
Zotu351	23	40	19	15	10	8	44	14	9	53	4	17	20	16	46	10	46	5	8	9	7	10	46	1	12	6	4	5	26	44	5	10	6	17	17	11	8	4	3	4	22	6	14	20	12	8	2	11	14	3	11	4	14	12	20	20	19	6	6	13
Zotu640	17	1	0	0	1	1	1	1	2	0	0	3	1	4	0	1	1	6	0	4	4	4	1	5	1	0	2	1	1	0	0	3	0	1	2	1	1	0	1	1	0	0	1	0	0	4	1	0	1	1	2	6	15	0	1	1	7	0	2	2
Zotu2	157	1265	1944	2585	1341	883	2177	946	1439	1297	1999	696	1738	1304	834	1181	1278	479	1649	628	462	695	1486	342	1101	489	1475	645	805	728	2369	209	632	862	673	1714	275	2716	857	444	1335	609	626	1188	884	533	697	672	1836	286	708	370	1392	733	1149	633	1236	212	394	1515
Zotu108	217	220	0	2	0	312	7	80	133	0	7	0	1	35	13	6	0	1	2	0	97	5	0	333	24	2	9	0	30	0	3	58	5	0	0	0	0	1	0	2	27	0	5	1	10	0	9	4	0	1	0	0	0	1	6	0	0	3	0	1
Zotu4	118	711	1236	1379	710	501	1301	563	917	831	1163	416	1033	904	515	783	730	261	990	422	265	430	913	181	666	229	878	434	440	432	1445	181	485	550	712	1040	199	2105	994	273	918	467	353	618	486	355	1098	462	1291	197	416	272	921	586	804	431	817	106	203	857
Zotu149	25	9	3	19	0	0	18	3	0	14	6	3	1	9	17	18	10	1	3	1	1	9	13	3	1	10	0	15	7	20	30	13	14	52	11	63	40	42	13	141	23	27	65	27	19	4	10	6	4	4	14	0	7	2	10	35	10	4	2	4
Zotu17	87	51	265	125	231	119	109	49	51	110	38	56	56	98	141	69	87	71	20	103	102	117	56	109	104	76	54	47	126	43	39	122	281	168	76	186	94	63	227	127	129	147	109	228	143	34	29	126	16	52	53	16	24	28	139	41	22	99	46	48
Zotu915	49	11	4	2	1	8	0	2	39	45	2	27	2	12	12	4	14	11	74	2	41	16	11	14	1	1	13	17	20	0	1	4	4	0	59	0	55	3	0	1	0	3	0	2	12	23	8	13	6	80	0	11	1	8	1	0	36	39	12	1
Zotu510	20	10	0	0	3	20	3	3	5	1	5	0	49	0	4	2	9	3	7	0	9	4	1	12	1	1	0	13	6	0	1	4	4	57	8	3	13	2	4	0	18	2	25	3	0	4	11	0	2	0	2	0	0	1	0	0	4	1	2	2
Zotu280	68	2	0	0	0	48	0	1	0	0	1	0	0	0	0	3	11	0	1	0	45	0	0	17	0	0	1	0	0	26	0	27	0	0	0	0	513	7	0	1	0	0	7	2	0	0	4	7	4	0	0	147	1	0	0	2	0	0	5	0
Zotu72	22	23	11	5	3	99	14	54	9	11	28	20	42	10	38	57	4	46	16	14	4	15	2	35	3	0	16	0	16	1	17	7	11	79	48	23	1	12	4	10	11	9	11	23	10	17	1	7	0	3	2	0	0	0	6	0	1	13	7	0
Zotu450	23	4	9	4	3	1	6	0	19	0	0	6	5	1	1	10	2	0	0	0	0	1	8	0	1	1	0	0	2	0	0	1	2	1	2	1	4	10	1	2	1	0	1	5	0	0	0	0	1	2	2	1	4	1	1	2	2	0	0	11
Zotu162	141	7	0	0	16	0	0	30	9	21	2	38	0	1	1	0	3	25	8	0	4	0	0	3	1	0	1	4	2	0	2	5	4	1	10	1	19	0	2	1	1	3	86	9	0	12	6	0	2	7	0	18	1	0	0	1	61	1	0	0
Zotu152	21	13	0	0	0	0	0	3	12	18	0	18	16	17	22	0	0	5	0	34	52	65	4	70	36	5	22	0	26	6	11	2	4	0	8	0	0	0	0	0	0	0	0	4	1	1	2	1	0	22	1	0	0	1	0	0	0	2	1	0
Zotu43	130	142	82	53	94	311	76	352	169	258	65	106	126	105	236	49	16	22	115	5	53	24	15	60	6	30	7	185	24	3	57	152	95	302	170	97	51	24	18	88	29	36	76	273	43	129	19	42	0	33	141	19	10	18	30	8	12	39	48	7
Zotu493	10	10	3	8	5	6	3	4	2	6	0	16	0	3	17	0	0	0	10	6	0	4	0	5	0	1	1	1	5	1	0	2	4	3	5	0	1	1	2	4	2	0	1	0	1	4	10	1	0	0	7	1	2	0	0	4	7	0	7	1
Zotu18	92	70	32	42	79	130	298	97	77	125	48	121	100	273	109	82	259	590	131	429	496	157	299	575	645	578	439	494	443	358	35	145	192	109	103	158	173	162	505	116	77	117	194	113	110	85	192	542	148	630	471	140	112	535	421	154	177	596	551	422
Zotu131	14	11	0	1	2	3	7	557	245	4	2	54	1	5	1	0	7	0	133	0	23	0	0	18	1	1	9	3	28	2	0	30	6	29	266	10	19	13	18	32	34	15	65	26	3	0	3	0	0	0	0	1	1	0	10	0	0	2	0	0
Zotu285	7	4	7	2	5	1	2	0	0	1	1	4	8	0	1	0	14	9	1	3	2	6	0	14	7	1	7	0	10	1	0	3	2	5	1	1	7	2	11	2	0	12	6	8	2	4	5	7	8	4	2	5	2	0	2	5	10	7	4	1
Zotu95	45	6	0	0	19	8	11	30	25	0	113	145	52	72	137	0	150	5	0	0	0	3	0	53	3	0	0	0	23	0	1	9	66	0	23	1	0	0	1	1	0	5	13	23	37	866	24	4	0	393	1	0	0	46	0	0	9	0	393	1
Zotu94	43	60	57	23	14	58	124	34	62	58	48	47	72	18	73	32	77	12	32	9	36	22	6	26	19	7	14	11	30	20	31	48	53	104	47	80	20	24	42	33	58	76	72	92	84	15	20	27	4	4	14	7	6	2	32	2	9	18	7	0
Zotu220	44	23	14	7	3	17	58	45	3	67	5	17	38	1	60	73	1	2	6	2	5	2	0	1	1	0	0	6	3	0	9	19	10	113	14	11	3	6	1	0	0	5	2	29	3	5	2	6	0	0	0	0	0	0	3	0	1	0	0	0
Zotu46	93	36	70	35	73	55	71	96	44	31	23	55	31	81	163	31	44	64	28	33	73	36	5	53	73	91	69	31	55	66	41	69	50	55	43	27	82	84	80	108	17	55	44	46	55	60	70	46	8	13	55	20	33	51	124	26	43	72	57	31
Zotu96	28	2	0	8	2	4	1	310	48	0	487	1	13	1	28	0	1	83	1	9	5	2	0	1	3	0	3	0	45	37	0	54	7	11	42	1	23	0	12	7	11	2	3	65	1	0	45	0	1	0	1	1	0	0	1	1	2	1	0	0
Zotu851	4	0	0	0	0	0	0	2	1	0	0	7	0	0	7	0	0	0	0	2	1	0	3	4	1	0	1	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	40	1	0	0	23	0	1	1	1	17	1	6	1
Zotu84	63	270	5	0	3	24	0	75	3	1	0	212	85	12	32	17	0	44	6	11	7	6	3	23	3	5	5	61	21	5	1	7	1	3	24	1	14	1	31	24	5	11	49	6	1	27	12	4	0	939	58	162	1	10	14	2	9	5	2	0
Zotu959	15	21	9	10	7	3	6	9	8	8	2	2	11	4	5	59	18	16	4	28	11	20	11	12	45	8	15	1	16	6	7	6	5	6	10	4	7	7	3	10	7	8	6	5	2	9	4	11	2	0	20	27	7	9	7	6	13	12	1	3
Zotu70	44	119	101	11	28	259	48	45	36	70	40	61	65	356	127	18	15	8	193	34	20	20	6	67	6	64	8	12	15	1	38	106	157	190	68	114	115	106	174	177	100	119	87	153	53	24	24	11	0	2	35	14	8	4	16	14	114	5	18	17
Zotu170	16	3	4	0	1	27	7	0	0	0	5	4	1	0	18	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	96	5	6	0	3	2	2	0	1	1	10	1	0	4	2	3	0	0	0	1	0	0	0	0	0	0	0	0
Zotu782	14	14	6	18	3	8	4	3	8	12	6	15	20	4	7	14	22	13	5	5	14	15	11	7	11	5	1	3	11	18	9	6	9	15	8	19	10	9	12	6	12	9	19	10	11	9	16	11	25	7	13	1	9	10	16	46	12	6	9	17
Zotu187	85	4	0	0	0	62	0	1	0	0	0	0	0	0	9	3	18	2	3	0	52	0	0	14	0	0	2	0	1	21	0	25	0	0	0	0	1156	3	0	0	0	0	7	0	0	0	16	10	0	0	0	241	0	0	0	1	0	0	7	0
Zotu964	4	6	6	13	12	8	9	5	6	15	3	5	4	12	8	5	3	7	5	5	5	4	2	10	1	3	4	5	8	6	7	9	14	10	11	13	11	0	1	3	10	2	7	2	10	9	2	7	2	4	4	0	3	3	12	26	10	11	3	5
Zotu181	28	0	5	18	26	31	8	5	5	30	1	6	6	9	14	7	31	27	9	3	6	9	33	2	9	4	0	26	8	7	5	16	3	7	1	8	2	12	2	78	1	4	9	2	1	8	1	6	22	9	69	4	85	15	14	148	98	14	7	24
Zotu146	8	6	6	3	5	0	4	1	0	3	5	1	1	2	4	9	2	3	1	0	0	3	5	0	3	1	1	3	4	5	3	1	2	1	3	1	0	3	0	3	3	2	1	1	4	3	2	0	7	0	2	0	1	2	0	0	1	0	0	0
Zotu478	5	7	0	5	2	2	2	5	2	4	0	2	3	10	6	3	14	1	8	3	7	4	8	5	1	8	2	4	7	3	0	23	0	4	1	6	11	1	0	7	0	2	1	2	0	4	5	2	1	3	5	9	67	0	4	7	6	1	9	3
Zotu402	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	25	0	12	10	30	6	0	0	0	0	1	48	1	0	393	0	0	0	0	1	0	0	0	0	0	78
Zotu513	7	4	12	4	3	2	3	1	5	13	3	4	0	1	1	11	3	2	2	2	3	5	0	2	0	0	5	1	4	0	1	3	2	2	0	0	2	0	1	0	0	0	4	2	1	1	0	0	0	1	1	3	0	0	2	1	0	3	0	0
Zotu545	16	1	0	0	1	0	0	0	9	11	0	13	0	2	3	39	0	3	8	3	1	0	0	6	1	34	0	0	0	0	0	6	0	0	22	0	108	0	2	3	1	1	0	1	2	1	7	0	0	3	68	1	0	0	0	0	1	0	0	0
Zotu286	28	7	7	15	10	7	3	1	6	5	0	8	10	1	7	4	22	39	2	23	35	86	46	53	105	5	75	2	34	70	1	2	14	2	3	3	7	0	10	3	12	4	28	13	10	9	47	54	81	12	19	26	16	33	35	30	23	37	34	23
Zotu80	85	124	82	31	24	210	48	107	60	94	24	88	66	84	78	23	7	12	34	13	13	10	1	6	12	34	3	247	21	2	78	80	32	219	76	94	45	33	11	71	26	32	41	134	15	23	9	12	1	4	10	19	5	17	14	2	2	57	17	9
Zotu355	11	1	28	8	5	4	60	5	1	11	2	15	3	7	19	7	14	5	1	55	9	1	1	7	5	3	6	2	10	13	23	14	3	25	6	23	3	13	12	3	6	15	5	24	4	0	0	3	0	0	1	0	0	1	18	0	0	5	0	2
Zotu317	31	4	3	7	2	6	21	11	48	13	10	10	11	0	8	4	8	10	2	3	27	13	3	15	5	0	10	3	12	4	5	10	18	10	24	3	5	8	41	6	12	19	19	15	18	4	9	20	33	2	3	0	1	9	4	4	6	14	4	0
Zotu368	23	2	1	1	3	0	1	1	6	9	4	122	1	0	6	1	3	12	5	14	3	17	3	2	15	2	7	0	16	5	0	0	2	3	9	1	0	4	3	2	17	2	9	4	1	4	5	8	2	5	7	4	1	2	6	0	15	2	5	0
Zotu758	8	25	10	3	6	6	43	12	15	27	3	14	15	5	18	15	8	8	4	2	5	6	2	4	2	5	2	7	18	24	5	12	10	23	19	23	7	1	3	4	4	4	12	13	14	2	1	6	1	4	9	0	2	3	13	1	2	3	0	7
Zotu89	51	30	23	23	10	64	52	37	16	32	33	49	11	40	63	50	12	7	18	13	9	32	10	18	5	8	9	21	18	2	15	32	33	65	45	27	16	2	15	17	8	26	22	61	36	52	24	18	2	0	14	3	3	5	10	3	16	3	13	1
Zotu47	118	28	93	27	53	119	37	30	60	43	17	195	13	266	115	93	30	79	83	60	110	70	32	190	41	51	55	64	167	39	3	22	29	9	61	11	124	11	19	41	15	8	27	21	20	44	59	27	22	202	78	57	163	33	56	55	53	119	97	57
Zotu213	113	40	0	0	6	1	0	220	17	2	6	89	17	0	6	1	5	2	1	0	1	6	1	7	2	0	22	254	2	2	1	10	0	3	10	2	111	1	2	1	19	1	0	3	12	11	24	2	5	0	3	108	1	0	10	19	14	1	6	0
Zotu245	10	10	13	6	20	16	11	8	11	16	5	13	13	12	19	16	24	23	10	12	17	22	60	32	21	8	24	22	56	31	6	5	32	15	7	10	5	4	12	8	12	7	15	12	13	6	8	14	11	17	28	5	18	20	17	31	23	19	28	36
Zotu154	12	9	16	0	1	1	3	51	1	1	21	22	3	16	14	14	1	4	7	9	14	3	1	22	1	0	1	3	5	1	2	8	10	3	9	2	7	8	0	29	3	5	3	3	8	35	6	0	0	10	0	11	0	0	3	0	1	0	0	0
Zotu484	2	2	0	0	3	0	1	4	0	1	3	2	0	1	5	11	8	105	11	42	15	2	15	44	8	7	0	6	49	4	3	13	3	2	8	9	2	2	8	34	34	9	8	6	22	84	6	0	0	50	6	4	0	9	38	3	12	2	10	6
Zotu191	16	16	4	9	9	3	13	6	4	32	2	15	1	36	23	2	14	14	11	13	13	15	23	13	17	31	4	15	10	32	2	17	14	14	9	17	13	4	5	4	2	7	6	12	11	9	13	12	9	3	7	5	10	8	18	6	14	3	16	20
Zotu173	0	4	1	4	1	1	1	0	1	3	2	13	0	77	14	16	12	5	3	1	17	26	11	27	1	2	28	47	1	1	4	6	1	6	5	0	56	3	4	9	8	12	5	0	4	5	10	0	0	819	18	0	0	0	0	2	3	0	1	0
Zotu270	13	1	3	7	0	13	16	3	5	14	1	1	8	0	1	8	3	10	6	12	9	15	5	21	29	1	40	1	15	18	12	7	6	12	8	5	0	3	20	0	2	40	3	34	14	2	0	8	0	0	0	0	0	3	3	0	0	21	0	0
Zotu739	22	1	21	4	1	41	7	42	10	0	0	9	2	0	3	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	43	9	2	13	1	3	20	0	1	4	12	1	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu69	33	39	42	6	10	36	8	152	19	24	86	40	89	21	102	14	20	40	87	16	271	0	1	58	2	93	14	3	13	4	121	73	91	137	119	40	43	44	100	84	276	24	34	67	27	7	5	27	0	6	2	1	0	2	26	2	4	75	52	3
Zotu833	8	1	2	1	1	0	0	1	1	0	0	0	3	0	0	0	0	2	3	5	2	2	0	4	7	0	2	1	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1	0	0	0	0	12	7	2	4	2	1	1	1	8	9	0	3	2
Zotu917	8	7	15	4	3	12	25	8	12	10	3	4	9	20	22	5	2	1	1	7	0	15	6	0	1	1	0	6	1	1	0	0	3	1	7	1	3	0	0	0	2	1	1	6	0	0	3	8	1	1	4	0	0	1	2	1	4	0	0	1
Zotu92	46	44	25	19	43	26	34	23	9	45	10	53	16	69	36	14	32	35	31	45	27	32	63	38	28	23	27	18	33	36	1	18	13	14	18	9	21	10	7	14	11	11	16	11	8	49	42	35	16	26	35	23	45	38	55	33	62	29	42	16
Zotu348	8	12	0	32	3	0	2	2	1	2	1	6	2	4	8	2	14	6	0	7	1	2	2	2	1	13	0	0	0	1	0	513	10	10	8	2	9	1	4	45	3	4	21	0	2	0	6	0	4	4	4	0	131	0	3	13	3	1	4	0
Zotu950	12	8	73	9	8	2	57	7	25	37	10	22	46	5	10	3	14	11	0	4	1	14	3	16	31	2	16	1	21	25	33	4	8	106	0	36	0	18	41	1	14	89	11	86	17	0	8	11	1	3	1	3	0	3	1	0	1	1	5	0
Zotu265	13	5	4	4	1	5	4	0	1	6	2	29	5	0	15	9	62	37	9	25	18	45	19	9	126	27	16	10	41	103	6	9	11	19	16	7	0	0	11	1	10	25	33	20	7	9	7	16	68	25	33	20	50	22	39	5	33	53	59	11
Zotu445	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	5	0	0	0	44	0	5	2	1	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu296	14	0	2	11	15	10	4	2	0	7	0	2	6	3	2	0	0	26	1	8	2	4	0	1	6	0	0	0	0	2	0	2	3	0	5	1	0	4	5	9	4	8	5	2	1	1	1	9	0	29	11	0	1	0	5	2	6	3	0	1
Zotu481	4	2	11	5	3	12	6	2	1	2	3	13	4	2	8	4	1	5	0	21	0	0	0	3	1	1	2	0	6	0	0	6	3	3	1	1	1	8	1	0	1	4	0	4	2	1	7	2	1	1	0	5	0	0	1	0	2	0	1	0
Zotu568	3	3	1	1	3	8	6	7	10	38	8	3	11	4	5	5	3	2	8	3	4	4	0	1	3	1	1	1	2	0	25	13	40	19	20	14	5	24	37	12	24	18	18	14	5	0	2	5	0	0	3	0	0	1	1	1	0	1	0	2
Zotu421	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Zotu302	18	51	6	21	17	10	12	18	4	12	12	23	11	30	54	6	8	2	2	17	2	11	3	9	0	2	5	7	11	7	3	14	27	38	26	12	12	8	3	24	11	7	4	8	12	30	7	6	3	1	33	4	30	10	1	14	14	0	4	12
